category,item_key,name,qty,notes,aliexpress_url,amazon_url,pcbway_url,other_urls,all_urls
Fasteners,hexagonal-head-cap-screw-18,Hexagonal Head Cap Screw,4,MC6S M4x60,https://s.click.aliexpress.com/e/_c3piOj51,https://geni.us/AMHzG,,,https://s.click.aliexpress.com/e/_c3piOj51 | https://geni.us/AMHzG
Fasteners,hexagonal-head-cap-screw-19,Hexagonal Head Cap Screw,120,MC6S M5x14,https://s.click.aliexpress.com/e/_c4XMd4bp,https://geni.us/FWRkK,,,https://s.click.aliexpress.com/e/_c4XMd4bp | https://geni.us/FWRkK
Fasteners,hexagonal-head-cap-screw-20,Hexagonal Head Cap Screw,8,MC6S M5x20,https://s.click.aliexpress.com/e/_c4XMd4bp,https://geni.us/FWRkK,,,https://s.click.aliexpress.com/e/_c4XMd4bp | https://geni.us/FWRkK
Fasteners,hexagonal-bolt,Hexagonal Bolt,1,M6S M8x65,https://s.click.aliexpress.com/e/_c3AkcVdD,https://geni.us/DYoFJ2A,,,https://s.click.aliexpress.com/e/_c3AkcVdD | https://geni.us/DYoFJ2A
Fasteners,nut,Nut,30,NUT M3,https://s.click.aliexpress.com/e/_c4dPMJIj,https://geni.us/IXWZiC0,,,https://s.click.aliexpress.com/e/_c4dPMJIj | https://geni.us/IXWZiC0
Fasteners,nut-2,Nut,4,NUT M4,https://s.click.aliexpress.com/e/_c4dPMJIj,https://geni.us/IXWZiC0,,,https://s.click.aliexpress.com/e/_c4dPMJIj | https://geni.us/IXWZiC0
Fasteners,locknut,Locknut,18,LOCKNUT M4,https://s.click.aliexpress.com/e/_c4c1Cx8n,https://geni.us/uW3lDP,,,https://s.click.aliexpress.com/e/_c4c1Cx8n | https://geni.us/uW3lDP
Fasteners,locknut-2,Locknut,16,LOCKNUT M5,https://s.click.aliexpress.com/e/_c4c1Cx8n,https://geni.us/uW3lDP,,,https://s.click.aliexpress.com/e/_c4c1Cx8n | https://geni.us/uW3lDP
Fasteners,locknut-3,Locknut,2,LOCKNUT M8,https://s.click.aliexpress.com/e/_c4c1Cx8n,https://geni.us/uW3lDP,,,https://s.click.aliexpress.com/e/_c4c1Cx8n | https://geni.us/uW3lDP
Fasteners,washer,Washer,10,WASHER M3,https://s.click.aliexpress.com/e/_c3XPz8aP,https://geni.us/gW6TZ,,,https://s.click.aliexpress.com/e/_c3XPz8aP | https://geni.us/gW6TZ
Filaments,abs-asa-petg-pc-filament,ABS/ASA/PETG&PC Filament,-,Approx 500g required,https://s.click.aliexpress.com/e/_c2u7dF8J,https://geni.us/gAhsy,,,https://s.click.aliexpress.com/e/_c2u7dF8J | https://geni.us/gAhsy
Filaments,abs-asa-petg-pc-filament-2,ABS/ASA/PETG&PC Filament,-,Approx 500g required,https://s.click.aliexpress.com/e/_c4sIjv6L,https://geni.us/iEIj,,,https://s.click.aliexpress.com/e/_c4sIjv6L | https://geni.us/iEIj
Filaments,black-pla-filament,Black PLA Filament,-,Approx 750g required (includes 500g for the stand),https://s.click.aliexpress.com/e/_c2QdFuwn,https://geni.us/m7Fcy3W,,,https://s.click.aliexpress.com/e/_c2QdFuwn | https://geni.us/m7Fcy3W
